Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Daniel Russell,Michigan State,13,12,25,5,102,38,38
Daniel Sambuco,Vermont,1,0,1,-2,8,12,13
Danny Ciccarello,Rensselaer,4,1,5,-7,27,6,25
Danny Dzhaniyev,Penn State,9,20,29,12,98,6,33
Danny Nelson,Notre Dame,9,14,23,5,92,32,30
Danny Pearson,Bentley,0,0,0,-1,1,4,2
Danny Weight,Colorado College,1,0,1,-2,7,0,6
Dans Locmelis,Massachusetts,7,7,14,7,52,4,30
Dante Fantauzzi,Sacred Heart,2,11,13,1,38,32,35
Darian Gotz,Minnesota-Duluth,0,6,6,-8,50,37,37
Dario Beljo,American Int'l,2,4,6,2,16,12,16
Darwin Lakoduk,American Int'l,0,0,0,-2,4,4,12
David Andreychuk,Yale,3,9,12,-10,39,14,30
David Breazeale,Maine,2,7,9,9,76,10,37
David Chen,Yale,9,9,18,-2,69,19,30
David Fessenden,Canisius,0,3,3,0,0,8,22
David Gagnon,Lindenwood,8,8,16,-8,78,25,28
David Gucciardi,Michigan State,2,6,8,8,40,47,30
David Hejduk,Harvard,0,1,1,-4,11,8,22
David Hymovitch,Arizona State,0,0,0,0,2,0,2
David Jacobs,Princeton,7,17,24,-3,82,18,30
David Melaragni,Canisius,2,11,13,2,56,16,32
David Posma,Niagara,1,2,3,-4,13,2,15
David Sacco,Merrimack,1,1,2,2,15,23,18
David Silye,Wisconsin,9,23,32,-4,97,10,40
Davis Burnside,Ohio State,9,17,26,-6,97,24,38
Davis Fry,Mercyhurst,0,0,0,-2,1,2,5
Davis Goukler,Alaska-Anchorage,1,2,3,13,30,6,24
Davis Pennington,Quinnipiac,3,21,24,23,94,14,39
Dawson Bruneski,Alaska,2,4,6,1,16,70,29
Dawson Good,Vermont,1,2,3,3,8,2,9
Dawson Tritt,Lake Superior,13,12,25,-1,80,14,38
Dean Bauchiero,Brown,1,0,1,-8,7,6,21
Dean Schwenninger,Stonehill,4,9,13,-19,47,32,34
Derek Mullahy,Harvard,0,1,1,0,0,0,17
Derek Pys,Alaska,0,1,1,1,2,17,4
Devin Kaplan,Boston University,5,18,23,9,49,34,37
Devin Phillips,Holy Cross,1,2,3,1,10,2,5
Devlin O'Brien,Merrimack,3,5,8,-6,22,24,30
Devon Carlstrom,Stonehill,0,2,2,-30,21,10,33
