PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Kevin Marx Noren,Northern Michigan,30,4,13,17,F,Fr.,Knivsta,Sweden,6'1 / 209,RIT,,CCHA,Atlantic,4/3/2024
Cody Monds,Clarkson,30,7,8,15,F,Jr.,"Brockville, ON",Canada,5'9 / 170,Robert Morris,Two-time transfer. Also played at Providence.,ECAC,Atlantic,4/25/2024
David Gagnon,Lindenwood,28,8,8,16,F,Jr.,"Halifax, NS",Canada,6'0 / 181,Robert Morris,Played both NCAA and ACHA hockey at Lindenwood.,Independent,Atlantic,3/18/2024
Eric DeDobbelaer,Massachusetts,-,-,-,-,F,Jr.,"Hamilton, ON",Canada,5'10 / 181,Robert Morris,,Hockey East,Atlantic,4/2/2024
Mitchel Deelstra,Northern Michigan,25,1,2,3,F,Sr.,"Wallace, ON",Canada,6'0 / 185,Robert Morris,Two-time transfer. Also played at Ferris State.,CCHA,Atlantic,3/18/2024
Greg Japchen ,Stonehill,30,3,11,14,D,So.,Doylestown,Pennsylvania,6'4 / 205,Robert Morris,Two-time transfer. Also played at Union.,Independent,Atlantic,3/21/2024
Dylan Meilun,Stonehill,26,5.03,0.874,2,G,So.,"Winnipieg, MB",Canada,6'5 / 220,Robert Morris,Two-time transfer. Also played at UWS (DIII).,Independent,Atlantic,4/16/2024
Dawson Smith,Western Michigan,-,-,-,-,G,Fr.,"Whitehorse, YT",Canada,6'4 / 194,Robert Morris,,NCHC,Atlantic,4/5/2024
Arvils Bergmanis,Alaska,31,2,17,19,D,Jr.,Riga,Latvia,5'11 / 187,RPI,,Independent,ECAC,3/26/2024
Will Gilson,Alaska-Anchorage,34,3,12,15,D,So.,Old Greenwich,Connecticut,6'0 / 170,RPI,,Independent,ECAC,4/1/2024
Jordan Tonelli,Brown,16,3,4,7,F,Sr.,Armonk,New York,6'0 / 179,RPI,,ECAC,ECAC,3/15/2024
Noah Giesbrecht,Ferris State,19,3.87,0.886,,G,Jr.,"South Surrey, BC",Canada,6'4 / 194,RPI,Two-time transfer. Also played at U of Windsor.,CCHA,ECAC,3/26/2024
Elliott McDermott,Massachusetts,35,0,2,2,D,Sr.,"Kingston, ON",Canada,5'11 / 194,RPI,Two-time transfer. Also played at Colgate.,Hockey East,ECAC,3/29/2024
Jake Hewitt,Army,35,7,10,17,F,Fr.,Ashburnham,Massachusetts,5'10 / 183,Sacred Heart,,Atlantic,Atlantic,4/1/2024
John Driscoll,Army,35,5,16,21,D,So.,Eagle ,Idaho,6'4 / 205,Sacred Heart,,Atlantic,Atlantic,4/1/2024
Tyler Ghirardosi,Holy Cross,39,14,13,27,F,Sr.,"Montrose, BC",Canada,6'3 / 185,Sacred Heart,Two-time transfer. Also played at Quinnipiac.,Atlantic,Atlantic,3/19/2024
Matt Guerra,Holy Cross,38,8,17,25,F,Sr.,Orlando,Florida,5'8 / 165,Sacred Heart,Two-time transfer. Also played at Robert Morris.,Atlantic,Atlantic,3/19/2024
Reid Pabich,Maine,21,1,4,5,F,So.,Verona,Wisconsin,5'11 / 174,Sacred Heart,,Hockey East,Atlantic,4/2/2024
Felix Trudeau,Maine,24,3,2,5,F,So.,"Terrebone, QC",Canada,6'2 / 190,Sacred Heart,,Hockey East,Atlantic,4/3/2024
