Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Northeastern,0,1,1,1,4,5,5,6,7,7,68,0.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.058823529411764705,0.07352941176470588,0.07352941176470588,0.08823529411764706,0.10294117647058823,0.10294117647058823,65.0,0.0,0.0,1.0,0.015384615384615385,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156,4.0,0.06153846153846154,5.0,0.07692307692307693,6.0,0.09230769230769231,6.0,0.09230769230769231
Northern Michigan,0,0,0,0,2,3,4,4,7,11,90,0.0,0.0,0.0,0.0,0.022222222222222223,0.03333333333333333,0.044444444444444446,0.044444444444444446,0.07777777777777778,0.12222222222222222,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776,1.0,0.027777777777777776
Notre Dame,0,0,1,1,1,3,6,7,7,9,78,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.07692307692307693,0.08974358974358974,0.08974358974358974,0.11538461538461539,70.0,0.0,0.0,0.0,0.0,1.0,0.014285714285714285,3.0,0.04285714285714286,3.0,0.04285714285714286,3.0,0.04285714285714286,4.0,0.05714285714285714,5.0,0.07142857142857142,5.0,0.07142857142857142,6.0,0.08571428571428572
Ohio State,0,0,1,3,4,4,4,5,6,6,58,0.0,0.0,0.017241379310344827,0.05172413793103448,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.08620689655172414,0.10344827586206896,0.10344827586206896,82.0,0.0,0.0,0.0,0.0,1.0,0.012195121951219513,1.0,0.012195121951219513,2.0,0.024390243902439025,3.0,0.036585365853658534,5.0,0.06097560975609756,6.0,0.07317073170731707,9.0,0.10975609756097561,12.0,0.14634146341463414
Omaha,0,0,1,1,3,6,6,8,10,10,54,0.0,0.0,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.18518518518518517,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.029850746268656716,3.0,0.04477611940298507,4.0,0.05970149253731343,4.0,0.05970149253731343,5.0,0.07462686567164178,7.0,0.1044776119402985
Penn State,0,1,1,2,2,3,3,6,7,8,85,0.0,0.011764705882352941,0.011764705882352941,0.023529411764705882,0.023529411764705882,0.03529411764705882,0.03529411764705882,0.07058823529411765,0.08235294117647059,0.09411764705882353,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.025,3.0,0.0375
Princeton,0,0,0,0,1,2,4,4,4,4,54,0.0,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,44.0,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,3.0,0.06818181818181818,3.0,0.06818181818181818,4.0,0.09090909090909091,4.0,0.09090909090909091,4.0,0.09090909090909091,5.0,0.11363636363636363,5.0,0.11363636363636363
Providence,0,0,2,2,2,3,3,3,3,3,57,0.0,0.0,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,74.0,0.0,0.0,0.0,0.0,1.0,0.013513513513513514,1.0,0.013513513513513514,2.0,0.02702702702702703,3.0,0.04054054054054054,3.0,0.04054054054054054,4.0,0.05405405405405406,5.0,0.06756756756756757,6.0,0.08108108108108109
Quinnipiac,0,0,1,1,1,1,1,2,2,6,57,0.0,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.10526315789473684,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012048192771084338,1.0,0.012048192771084338,2.0,0.024096385542168676,3.0,0.03614457831325301,4.0,0.04819277108433735,6.0,0.07228915662650602,6.0,0.07228915662650602
RIT,0,1,1,3,5,6,7,8,9,10,104,0.0,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.04807692307692308,0.057692307692307696,0.0673076923076923,0.07692307692307693,0.08653846153846154,0.09615384615384616,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01639344262295082,1.0,0.01639344262295082,2.0,0.03278688524590164,3.0,0.04918032786885246,3.0,0.04918032786885246,3.0,0.04918032786885246,4.0,0.06557377049180328
